customer_id,signup_date,country_code,postal_code,age,employment_status,annual_income,plan_type,tenure_months,monthly_charges,total_charges,support_calls,region,data_plan,churned
CUS100006,2020-05-14,DE,41579,37,unemployed,,Business,61,108.16,6597.76,0,EU-WEST,unlimited,0
CUS100003,2020-02-04,DE,12695,74,employed,45085.0,Premium,65,78.9,5128.5,3,EU-WEST,unlimited,0
CUS100032,2023-09-06,NL,86722,34,employed,38873.0,Premium,37,82.13,3038.81,3,EU-WEST,unlimited,0
CUS100438,2024-02-26,DE,10967,57,employed,59667.0,Business,60,97.73,5863.8,0,EU-WEST,unlimited,0
CUS900002,2024-10-14,DE,70912,61,self-employed,,Standard,67,55.81,3739.27,2,EU-WEST,unlimited,0
CUS100048,2022-09-18,DE,69058,39,employed,40896.0,Basic,33,30.81,1016.73,4,EU-WEST,unlimited,0
CUS100107,2020-01-29,NA,51122,75,employed,40434.0,Basic,28,27.47,769.16,1,EU-WEST,unlimited,0
CUS100481,2021-11-30,DE,19366,41,student,61947.0,Basic,28,19.8,554.4,0,EU-WEST,unlimited,1
CUS100118,2020-08-10,DE,57460,23,student,35092.0,Premium,29,76.72,2224.88,1,EU-WEST,unlimited,0
CUS100370,2024-07-18,DE,31015,56,employed,23898.0,Basic,22,22.37,492.14,4,EU-WEST,unlimited,0
CUS100208,2021-07-17,DE,88279,56,student,76264.0,Basic,32,28.89,924.48,1,EU-WEST,unlimited,0
CUS100539,2023-01-09,NL,29682,68,employed,46942.0,Basic,60,19.29,1157.4,1,EU-WEST,unlimited,0
CUS100318,2019-07-24,CH,29645,62,employed,29921.0,Standard,13,48.53,630.89,0,EU-WEST,unlimited,1
CUS100113,2020-08-14,AT,83418,65,employed,27846.0,Premium,59,77.6,4578.4,0,EU-WEST,unlimited,1
CUS100549,2021-02-21,DE,32744,73,student,15582.0,Basic,28,17.86,500.08,0,EU-WEST,unlimited,0
CUS100131,2019-03-15,FR,83598,70,employed,45772.0,Basic,18,26.14,470.52,1,EU-WEST,unlimited,0
CUS100375,2019-08-14,DE,16387,65,employed,52952.0,Basic,2,33.46,66.92,2,EU-WEST,unlimited,0
CUS100309,2019-05-26,DE,70140,36,student,36358.0,Premium,46,78.08,3591.68,0,EU-WEST,unlimited,1
CUS100294,2024-02-20,DE,02713,22,self-employed,,Basic,18,20.42,367.56,1,EU-WEST,unlimited,1
CUS100174,2024-12-10,NA,82380,74,employed,42158.0,Standard,5,38.06,190.3,0,EU-WEST,unlimited,1
CUS100015,2024-02-19,DE,71590,68,employed,59283.0,Basic,60,42.93,2575.8,1,EU-WEST,unlimited,0
CUS100387,2021-02-14,DE,50555,26,employed,19145.0,Standard,43,39.63,1704.09,2,EU-WEST,unlimited,0
CUS100463,2023-06-25,DE,15633,65,student,47133.0,Premium,52,81.9,4258.8,2,EU-WEST,unlimited,0
CUS100010,2021-01-21,DE,73591,25,employed,16128.0,Business,21,95.45,2004.45,0,EU-WEST,unlimited,1
CUS100542,2019-08-14,AT,93908,75,employed,14320.0,Basic,62,22.94,1422.28,4,EU-WEST,unlimited,0
CUS100190,2023-03-12,DE,36353,21,student,20363.0,Standard,33,47.06,1552.98,2,EU-WEST,unlimited,0
CUS100576,2023-12-16,CH,45925,47,student,21338.0,Basic,16,24.25,388.0,0,EU-WEST,unlimited,0
CUS100204,2023-09-05,DE,95866,68,unemployed,,Premium,53,80.09,-,1,EU-WEST,unlimited,0
CUS100288,2023-05-24,DE,55256,76,employed,17872.0,Premium,27,79.2,2138.4,1,EU-WEST,unlimited,1
CUS100606,2024-05-12,AT,58419,20,employed,37768.0,Business,43,93.51,4020.93,0,EU-WEST,unlimited,0
CUS100105,2020-07-01,AT,94533,34,unemployed,64780.0,Premium,5,72.53,362.65,0,EU-WEST,unlimited,1
CUS100081,2023-08-28,FR,40717,22,employed,48835.0,Premium,20,75.3,1506.0,1,EU-WEST,unlimited,0
CUS900008,2023-06-22,DE,52775,31,employed,51082.0,Basic,12,13.42,161.04,2,EU-WEST,unlimited,0
CUS100430,2020-12-04,NL,89306,71,employed,54534.0,Standard,22,48.76,852.72,2,EU-WEST,unlimited,0
CUS100568,2022-12-03,DE,35259,41,employed,30521.0,Basic,68,27.01,1836.68,0,EU-WEST,unlimited,0
CUS100167,2024-08-03,DE,58305,23,employed,30024.0,Standard,13,41.91,544.83,0,EU-WEST,unlimited,0
CUS100380,2024-09-08,DE,23594,30,employed,39296.0,Basic,69,24.49,1689.81,2,EU-WEST,unlimited,0
CUS100484,2019-12-12,AT,21546,38,student,39352.0,Basic,64,24.01,1536.64,0,EU-WEST,unlimited,0
CUS100258,2022-11-11,DE,40357,24,employed,36433.0,Standard,29,51.9,?,0,EU-WEST,unlimited,0
CUS100228,2023-03-26,DE,55622,27,student,53156.0,Premium,23,73.78,1696.94,0,EU-WEST,unlimited,0
CUS900000,2019-05-26,DE,70140,36,student,36358.0,Premium,46,78.08,3591.68,0,EU-WEST,unlimited,1
CUS100064,2022-09-04,DE,43991,75,unemployed,,Basic,72,29.93,2154.96,2,EU-WEST,unlimited,0
CUS100592,2024-07-05,DE,21702,59,retired,23515.0,Business,46,103.03,4739.38,2,EU-WEST,unlimited,0
CUS100558,2021-01-04,DE,85604,71,retired,99422.0,Basic,39,16.95,661.05,1,EU-WEST,unlimited,1
CUS100609,2022-12-20,CH,09317,73,employed,,Business,52,79.1,4113.2,0,EU-WEST,unlimited,0
CUS100426,2024-12-14,CH,70936,52,employed,30080.0,Standard,22,42.49,934.78,2,EU-WEST,unlimited,0
CUS100466,2022-12-31,NL,77770,24,employed,24247.0,Standard,34,49.28,1675.52,1,EU-WEST,unlimited,0
CUS100392,2019-05-01,DE,89661,42,employed,28121.0,Standard,7,41.34,289.38,1,EU-WEST,unlimited,0
CUS100553,2022-07-06,DE,96048,66,employed,31375.0,Basic,7,25.13,175.91,0,EU-WEST,unlimited,0
CUS100514,2021-04-29,DE,57367,37,employed,38915.0,Premium,25,81.11,1777.75,2,EU-WEST,unlimited,0
CUS100599,2020-08-15,DE,79069,33,employed,41030.0,Basic,29,26.72,774.88,1,EU-WEST,unlimited,0
CUS100074,2023-08-23,DE,05346,19,employed,15313.0,Basic,36,27.52,990.72,0,EU-WEST,unlimited,0
CUS100509,2022-10-24,DE,96893,43,employed,59214.0,Standard,24,45.01,1080.24,1,EU-WEST,unlimited,0
CUS100566,2022-10-18,DE,67123,27,employed,28187.0,Premium,17,76.21,1295.57,0,EU-WEST,unlimited,0
CUS100577,2020-04-01,NA,27257,34,unemployed,,Basic,54,24.16,1304.64,1,EU-WEST,unlimited,0
CUS100086,2021-07-21,DE,89734,58,self-employed,55249.0,Premium,68,71.0,4828.0,3,EU-WEST,unlimited,0
CUS100027,2024-01-05,BE,22124,28,unemployed,28575.0,Basic,33,22.26,734.58,2,EU-WEST,unlimited,0
CUS100434,2019-06-22,DE,73049,77,employed,45247.0,Premium,32,80.22,2567.04,4,EU-WEST,unlimited,1
CUS100177,2022-06-09,DE,54341,77,employed,42290.0,Standard,30,44.93,1347.9,1,EU-WEST,unlimited,1
CUS100595,2021-06-10,FR,86925,58,employed,51623.0,Standard,61,40.41,2465.01,2,EU-WEST,unlimited,0
CUS100564,2024-12-15,FR,88428,63,employed,24249.0,Standard,53,55.38,2935.14,4,EU-WEST,unlimited,0
CUS100134,2019-07-13,AT,60744,60,employed,,Basic,60,33.68,2020.8,1,EU-WEST,unlimited,0
CUS100545,2024-04-20,AT,49475,69,employed,39276.0,Basic,32,21.02,-,3,EU-WEST,unlimited,0
CUS100335,2024-03-07,DE,05460,57,employed,99401.0,Premium,48,85.17,4088.16,1,EU-WEST,unlimited,0
CUS100152,2021-08-17,NL,99007,46,unemployed,,Standard,35,42.74,1495.9,0,EU-WEST,unlimited,0
CUS100300,2021-06-17,BE,24461,65,employed,34586.0,Business,54,98.17,5301.18,0,EU-WEST,unlimited,0
CUS100383,2022-03-18,DE,56007,61,self-employed,,Basic,41,25.74,1055.34,1,EU-WEST,unlimited,0
CUS100594,2021-12-02,DE,62163,24,unemployed,,Standard,58,44.44,2577.52,1,EU-WEST,unlimited,0
CUS100050,2019-02-06,DE,16395,71,employed,63381.0,Basic,11,25.3,278.3,0,EU-WEST,unlimited,1
CUS100217,2023-12-09,DE,07866,65,self-employed,,Business,26,94.58,2459.08,2,EU-WEST,unlimited,0
CUS100037,2019-12-03,DE,18526,52,employed,40727.0,Business,45,93.26,4196.7,1,EU-WEST,unlimited,0
CUS100233,2020-03-03,DE,52002,74,employed,51360.0,Premium,59,84.94,5011.46,3,EU-WEST,unlimited,0
CUS100433,2021-06-09,DE,72795,60,unemployed,36763.0,Basic,63,24.03,1513.89,2,EU-WEST,unlimited,0
CUS100036,2024-11-04,DE,50262,72,employed,31259.0,Business,51,89.42,4560.42,4,EU-WEST,unlimited,0
CUS100269,2019-01-13,NL,63441,-1,employed,32079.0,Basic,69,12.04,830.76,2,EU-WEST,unlimited,0
CUS100280,2021-09-03,FR,80911,61,student,43125.0,Premium,56,70.91,3970.96,2,EU-WEST,unlimited,0
CUS100247,2019-05-31,CH,07533,56,retired,21193.0,Basic,37,27.23,1007.51,2,EU-WEST,unlimited,1
CUS100030,2019-07-20,DE,77789,76,employed,25070.0,Basic,42,30.38,1275.96,1,EU-WEST,unlimited,0
CUS100137,2019-06-22,DE,37545,35,employed,34999.0,Premium,70,69.34,4853.8,3,EU-WEST,unlimited,1
CUS100567,2020-09-01,DE,58801,62,employed,24084.0,Basic,38,31.31,1189.78,2,EU-WEST,unlimited,0
CUS100155,2020-11-13,DE,52972,30,employed,,Standard,66,44.65,2946.9,3,EU-WEST,unlimited,1
CUS100452,2023-09-30,DE,20997,45,employed,80715.0,Basic,33,17.32,571.56,4,EU-WEST,unlimited,0
CUS100379,2021-04-18,NL,94330,60,self-employed,,Business,18,95.62,1721.16,4,EU-WEST,unlimited,1
CUS100049,2024-02-04,BE,49784,20,student,50723.0,Premium,3,78.01,234.03,0,EU-WEST,unlimited,1
CUS100469,2024-06-04,CH,75115,35,employed,24308.0,Basic,12,-45.0,398.76,1,EU-WEST,unlimited,0
CUS100007,2024-07-10,NA,81245,28,self-employed,28223.0,Standard,17,52.1,885.7,1,EU-WEST,unlimited,0
CUS100259,2020-12-23,AT,38884,48,unemployed,23779.0,Standard,25,49.26,1231.5,2,EU-WEST,unlimited,0
CUS100372,2021-07-07,DE,47286,77,employed,20897.0,Standard,13,53.88,700.44,1,EU-WEST,unlimited,0
CUS100329,2020-06-08,DE,87371,68,unemployed,93628.0,Business,44,94.22,4145.68,1,EU-WEST,unlimited,0
